"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ASHOKLEY","EQ","26-Dec-2018","        104.60","        104.00","        104.30","        102.00","        103.90","        103.90","        103.29","   10559085","          1090634738.50","      47352","    2107354","         19.96"
"ASHOKLEY","EQ","27-Dec-2018","        103.90","        104.80","        105.00","        102.70","        103.00","        103.00","        103.80","   10605851","          1100837812.85","      43241","    3677966","         34.68"
"ASHOKLEY","EQ","28-Dec-2018","        103.00","        103.05","        104.40","        102.55","        102.95","        102.75","        103.36","   12224599","          1263528191.10","      43456","    4719399","         38.61"
"ASHOKLEY","EQ","31-Dec-2018","        102.75","        103.90","        103.90","        102.20","        102.50","        102.50","        102.96","   11768308","          1211616149.80","      58876","    3701014","         31.45"
"ASHOKLEY","EQ","01-Jan-2019","        102.50","        102.85","        102.90","        100.85","        102.60","        102.50","        101.92","   13384173","          1364125168.35","      54366","    2377197","         17.76"
"ASHOKLEY","EQ","02-Jan-2019","        102.50","        102.05","        102.30","         99.00","        100.05","         99.95","        100.31","   40123864","          4024918432.10","     145318","   10444895","         26.03"
"ASHOKLEY","EQ","03-Jan-2019","         99.95","         99.75","        100.30","         97.90","         98.25","         98.15","         98.73","   24374807","          2406510394.15","     115240","    6590443","         27.04"
"ASHOKLEY","EQ","04-Jan-2019","         98.15","         98.15","         98.75","         96.00","         96.70","         96.80","         96.83","   24533568","          2375482028.85","      92806","    7061972","         28.78"
"ASHOKLEY","EQ","07-Jan-2019","         96.80","         98.00","         98.05","         93.05","         93.25","         93.45","         94.81","   34348346","          3256430425.80","     137211","   10789738","         31.41"
"ASHOKLEY","EQ","08-Jan-2019","         93.45","         93.20","         94.15","         92.45","         93.05","         93.05","         93.22","   30663741","          2858605200.15","      90127","    9975638","         32.53"
"ASHOKLEY","EQ","09-Jan-2019","         93.05","         94.20","         95.60","         93.35","         94.55","         94.45","         94.66","   27548584","          2607788483.35","     105348","    5355049","         19.44"
"ASHOKLEY","EQ","10-Jan-2019","         94.45","         96.60","         96.60","         94.80","         95.10","         95.00","         95.48","   32312717","          3085193692.30","     118673","    9360437","         28.97"
"ASHOKLEY","EQ","11-Jan-2019","         95.00","         95.15","         95.45","         93.70","         94.15","         94.30","         94.23","   14986175","          1412217552.65","      63309","    3009078","         20.08"
"ASHOKLEY","EQ","14-Jan-2019","         94.30","         94.30","         94.30","         92.70","         93.55","         93.50","         93.32","   12855740","          1199713285.30","      58234","    2783648","         21.65"
"ASHOKLEY","EQ","15-Jan-2019","         93.50","         93.50","         94.45","         93.25","         93.75","         93.60","         93.66","   11106564","          1040273465.15","      43911","    3191484","         28.74"
"ASHOKLEY","EQ","16-Jan-2019","         93.60","         93.50","         94.30","         93.45","         94.10","         93.95","         93.89","   10035208","           942214793.20","      41243","    3307945","         32.96"
"ASHOKLEY","EQ","17-Jan-2019","         93.95","         94.15","         94.45","         93.05","         93.35","         93.25","         93.47","    8949001","           836492046.80","      37109","    2137538","         23.89"
"ASHOKLEY","EQ","18-Jan-2019","         93.25","         93.35","         93.55","         92.00","         92.40","         92.30","         92.53","   10880766","          1006782868.65","      46840","    2899730","         26.65"
"ASHOKLEY","EQ","21-Jan-2019","         92.30","         92.35","         92.60","         90.35","         90.60","         90.60","         91.57","   11361469","          1040334271.80","      51780","    3221080","         28.35"
"ASHOKLEY","EQ","22-Jan-2019","         90.60","         89.25","         89.40","         86.50","         87.90","         87.95","         87.63","   28973401","          2538946237.25","     125616","    5947517","         20.53"
"ASHOKLEY","EQ","23-Jan-2019","         87.95","         87.90","         89.50","         87.20","         88.80","         89.15","         88.75","   13463017","          1194859864.40","      52178","    2568167","         19.08"
"ASHOKLEY","EQ","24-Jan-2019","         89.15","         89.15","         89.25","         84.50","         84.70","         84.80","         85.85","   31366207","          2692736050.85","     108857","   13042044","         41.58"
"ASHOKLEY","EQ","25-Jan-2019","         84.80","         85.30","         85.85","         82.20","         82.30","         82.60","         83.84","   24874754","          2085537804.70","      94450","    9193454","         36.96"
"ASHOKLEY","EQ","28-Jan-2019","         82.60","         82.60","         83.50","         80.80","         83.30","         83.00","         82.34","   20419146","          1681296456.35","      77626","    4448583","         21.79"
"ASHOKLEY","EQ","29-Jan-2019","         83.00","         83.00","         83.60","         81.65","         82.60","         82.30","         82.54","   23195132","          1914541353.05","      86292","    7607082","         32.80"
"ASHOKLEY","EQ","30-Jan-2019","         82.30","         82.50","         83.05","         80.70","         80.80","         80.95","         81.42","   17250863","          1404595533.60","      85088","    6248971","         36.22"
"ASHOKLEY","EQ","31-Jan-2019","         80.95","         81.30","         82.20","         79.55","         81.60","         81.30","         81.07","   36294901","          2942446999.25","      99490","   16062127","         44.25"
"ASHOKLEY","EQ","01-Feb-2019","         81.30","         81.75","         87.20","         80.85","         84.20","         83.55","         84.69","   65021097","          5506803281.25","     192210","   16970728","         26.10"
"ASHOKLEY","EQ","04-Feb-2019","         83.55","         84.10","         84.30","         81.55","         82.05","         82.30","         82.59","   17072907","          1410014260.45","      65491","    3750315","         21.97"
"ASHOKLEY","EQ","05-Feb-2019","         82.30","         82.00","         83.40","         81.20","         82.25","         82.15","         82.41","   16979058","          1399289462.50","      60235","    4802739","         28.29"
"ASHOKLEY","EQ","06-Feb-2019","         82.15","         82.30","         83.15","         80.50","         83.00","         82.55","         81.86","   13068393","          1069739501.80","      47877","    2847377","         21.79"
"ASHOKLEY","EQ","07-Feb-2019","         82.55","         82.65","         88.50","         82.40","         88.15","         87.75","         86.30","   42292682","          3649791586.40","     130146","    7531270","         17.81"
"ASHOKLEY","EQ","08-Feb-2019","         87.75","         88.00","         88.05","         85.60","         87.05","         87.05","         86.73","   20469839","          1775301009.85","      86238","    5902899","         28.84"
"ASHOKLEY","EQ","11-Feb-2019","         87.05","         86.80","         86.80","         82.60","         83.30","         83.10","         83.96","   18189713","          1527243569.95","      70235","    3805893","         20.92"
"ASHOKLEY","EQ","12-Feb-2019","         83.10","         83.00","         83.55","         81.00","         81.20","         81.20","         81.98","   15898399","          1303290623.10","      68438","    4610948","         29.00"
"ASHOKLEY","EQ","13-Feb-2019","         81.20","         81.85","         82.00","         78.70","         78.80","         78.90","         79.93","   18100211","          1446666587.10","      79761","    5167927","         28.55"
"ASHOKLEY","EQ","14-Feb-2019","         78.90","         78.50","         87.10","         77.75","         83.50","         84.45","         82.19","   45263573","          3720221461.50","     149110","    7813293","         17.26"
"ASHOKLEY","EQ","15-Feb-2019","         84.45","         81.80","         82.35","         78.00","         79.70","         79.95","         79.84","   53819329","          4296804525.35","     187161","   10281824","         19.10"
"ASHOKLEY","EQ","18-Feb-2019","         79.95","         79.80","         79.95","         77.60","         79.65","         79.20","         79.16","   18434019","          1459159667.05","      64281","    3696674","         20.05"
"ASHOKLEY","EQ","19-Feb-2019","         79.20","         80.00","         81.20","         78.50","         79.25","         79.20","         79.77","   33017444","          2633740461.30","      92654","    7010164","         21.23"
"ASHOKLEY","EQ","20-Feb-2019","         79.20","         79.80","         81.50","         79.80","         81.05","         80.95","         80.85","   25543536","          2065194068.30","      74164","    6868444","         26.89"
"ASHOKLEY","EQ","21-Feb-2019","         80.95","         81.50","         81.65","         80.20","         81.15","         81.15","         80.94","   18529079","          1499753505.15","      55017","    3918906","         21.15"
"ASHOKLEY","EQ","22-Feb-2019","         81.15","         81.00","         82.85","         80.75","         82.10","         81.85","         82.05","   28694764","          2354340349.75","      70599","   10015042","         34.90"
"ASHOKLEY","EQ","25-Feb-2019","         81.85","         82.45","         83.50","         81.75","         83.35","         83.25","         82.75","   17273781","          1429386218.25","      60139","    4161488","         24.09"
"ASHOKLEY","EQ","26-Feb-2019","         83.25","         82.35","         83.75","         80.50","         83.25","         83.30","         82.49","   24243625","          1999772581.70","      71955","    5236143","         21.60"
"ASHOKLEY","EQ","27-Feb-2019","         83.30","         83.65","         85.70","         82.35","         84.30","         84.85","         84.36","   37470474","          3161096510.85","     123433","   10088281","         26.92"
"ASHOKLEY","EQ","28-Feb-2019","         84.85","         85.90","         87.00","         85.20","         86.95","         86.50","         86.27","   40784271","          3518536968.00","     125038","   12042843","         29.53"
"ASHOKLEY","EQ","01-Mar-2019","         86.50","         87.40","         87.90","         84.40","         86.75","         86.60","         86.48","   34521039","          2985208629.85","      99985","    6022972","         17.45"
"ASHOKLEY","EQ","05-Mar-2019","         86.60","         86.70","         91.00","         85.80","         90.65","         90.50","         89.24","   35128559","          3134764236.10","     112258","    7744314","         22.05"
"ASHOKLEY","EQ","06-Mar-2019","         90.50","         91.95","         92.85","         89.90","         90.45","         90.60","         91.58","   37509378","          3435106763.20","     105607","   12429302","         33.14"
"ASHOKLEY","EQ","07-Mar-2019","         90.60","         90.95","         92.10","         89.40","         91.30","         90.90","         91.03","   23050857","          2098386267.40","      77359","    4923858","         21.36"
"ASHOKLEY","EQ","08-Mar-2019","         90.90","         90.90","         90.95","         89.30","         89.80","         89.65","         89.99","   19294489","          1736319400.75","      60194","    2848754","         14.76"
